"Id"	"Parent"	"Type"	"Summary"	"Planned For"	"Status"	"Story Points (numeric)"	"Blocks"
"1022281"	"#380808"	"Task"	"Feature 380808: Submit PDO for 98-P59813M MUOS_IG_GS_NMS_NM_Common_Tectia_SVD"	"PI 16"	"New"	""	"#1010512"
"1022268"	"#1008620"	"Story"	"Labs – TXO Ericsson – Test Ericsson parts from second part of 2030 completion order - RFIF"	"EA 15.3"	"Implementing"	"1"	""
"1022267"	"#1013452"	"Task"	"Feature 1013452: Get stakeholder concurrence on Ephemeris design approach"	"EA 15.4"	"New"	""	""
"1022263"	"#1022224"	"Feature"	"OBS - PPA Web Implement Mapping Server"	"PI 16 - Candidate"	"Draft"	""	""
"1022261"	"#1006191"	"Story"	"Assist with Lab Activities for SBC Prototype Phase II"	"EA 15.3"	"Ready for Acceptance"	"1"	""
"1022255"	"#1022224"	"Feature"	"OBS - PPA Web Implement Administration Menu Items"	"PI 16 - Candidate"	"Draft"	""	""
"1022254"	"#1022224"	"Feature"	"OBS - PPA Implement Web Framework"	"PI 16 - Candidate"	"Draft"	""	""
"1022249"	"#1022138"	"Story"	"Feature 1022138: Design build flow for PPA"	"PI 16 - Candidate"	"New"	"3"	""
"1022246"	""	"Feature"	"Migrate ODE BuildForge Management Console to New Server"	"Unassigned"	"Draft"	""	""
"1022245"	"#1022138"	"Story"	"Feature 1022138: Configure CM/ClearCase management for PPA"	"PI 16 - Candidate"	"New"	"3"	""
"1022216"	"#1022138"	"Story"	"Feature 1022138: Add new PPA VM to DNS Server in SWIT"	"PI 16 - Candidate"	"New"	"1"	""
"1022215"	"#1022138"	"Story"	"Feature 1022138: Configure connectivity for PPA VM"	"PI 16 - Candidate"	"New"	"2"	""
"1022214"	"#1022138"	"Story"	"Feature 1022138: Nutanix Support for SIC"	"PI 16 - Candidate"	"New"	"1"	""
"1022213"	"#1022138"	"Story"	"Feature 1022138: Create VM in SWIT for PPA Web Application"	"EA 16.1"	"New"	"3"	""
"1022212"	"#1022138"	"Story"	"Feature 1022138: Configure Build/Release management for PPA"	"PI 16 - Candidate"	"New"	"5"	""
"1022210"	"#299984"	"Task"	"Feature 299984: Submit PDO for 98-P55755M - Firewall - Network - SVD"	"PI 16"	"New"	""	""
"1022209"	"#367689"	"Task"	"Feature 367689: Submit PDO for 99-P57050M - NMS - NM Common PKI"	"PI 16"	"New"	""	""
"1022208"	""	"Task"	"Feature 354680: Submit PDO for 99-P57050M - NMS - NM Common PKI"	"PI 16"	"New"	""	""
"1022207"	"#384084"	"Task"	"Feature 384084: Submit PDO for 98-P54191T - NMS - NM - FCAP - FaultMgmt - SVD"	"PI 16"	"New"	""	""
"1022206"	"#1016383"	"Task"	"Feature 1016383: Submit PDO for 98-P54191T - NMS - NM - FCAP - FaultMgmt - SVD"	"PI 16"	"New"	""	""
"1022205"	"#392058"	"Task"	"Feature 392058: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022204"	"#262745"	"Task"	"Feature 262745: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022203"	"#299984"	"Task"	"Feature 299984: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022202"	"#367689"	"Task"	"Feature 367689: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022201"	"#1020303"	"Task"	"Feature 1020303: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022200"	"#1008506"	"Task"	"Feature 1008506: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022199"	"#1008506"	"Task"	"Feature 1008506: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1022198"	"#1002345"	"Task"	"Feature 1002345: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1022197"	"#1002345"	"Task"	"Feature 1002345: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022196"	"#1001263"	"Task"	"Feature 1001263: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022195"	"#1013452"	"Task"	"Feature 1013452: Submit PDO for 99-P53198T – NMS – NM – NEDB"	"PI 16"	"New"	""	""
"1022194"	"#1013452"	"Task"	"Feature 1013452: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1022193"	"#1013452"	"Task"	"Feature 1013452: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1022192"	"#1013452"	"Task"	"Feature 1013452: Submit PDO for 98-P55509M – Network – Router – SVD"	"PI 16"	"New"	""	""
"1022191"	"#1013452"	"Task"	"Feature 1013452: Submit PDO for 98-P55464M MUOS_IG_GS_Network_LB_SVD"	"PI 16"	"New"	""	""
"1022184"	""	"Problem"	"Board 12 crashed with  “Out of space in user signal pool” errors"	"Unassigned"	"Triage"	""	""
"1022150"	"#1020849"	"Task"	"Feature 1020849: Hardware/Software Procurement Request for Release Regression"	"PI 16"	"New"	""	""
"1022149"	"#1020797"	"Task"	"Feature 1020797: Procurement Verification and Approvals for Release Regression"	"PI 16"	"New"	""	""
"1022148"	"#1020849"	"Task"	"Feature 1020849: Hardware/Software Procurement Request for Lab - Maintain Labs"	"PI 16"	"New"	""	""
"1022147"	"#1020849"	"Task"	"Feature 1020849: Procurement Verification and Approvals for Lab - Maintain Labs"	"PI 16"	"New"	""	""
"1022146"	"#1014021"	"Feature"	"Identify/define additional metrics for WCDMA services, implement Retainability metrics  defined in PI 15, track, analyze and report implemented metrics, investigate CSSR anamoly"	"PI 16"	"Analyzing"	""	""
"1022145"	""	"Task"	"Feature 1021044: Hardware/Software Procurement Request for ETI - Polatis 6000 Switch Updates"	"PI 16"	"New"	""	""
"1022143"	"#1021044"	"Task"	"Feature 1021044: Procurement Verification and Approvals for ETI - Polatis 6000 Switch Updates"	"PI 16"	"New"	""	""
"1022138"	"#1022224"	"Feature"	"OBS - PPA Build, Release, and Dev Environment Setup"	"PI 16 - Candidate"	"Analyzing"	""	""
"1022134"	"#1016900"	"Story"	"Feature 1016900: Prototype new Login Authentication Solution"	"EA 16.1"	"New"	"8"	""
"1022133"	""	"Feature"	"TEST ONLY - PLEASE IGNORE"	"Unassigned"	"Analyzing"	""	""
"1022122"	"#1013452"	"Story"	"Feature 1013452: OS Patching  Support for Geo EAD 18"	"EA 15.3"	"New"	"1"	""
"1022118"	"#385438"	"Feature"	"OBS - NET: Develop Capability Design Spec of the MUOS Ground System"	"PI 16"	"Draft"	""	""
"1022112"	""	"Problem"	"Data issues when gsl owner mod restarted"	"Unassigned"	"Triage"	""	""
"1022110"	""	"Story"	"TEST ONLY - PLEASE IGNORE"	"Unassigned"	"Done"	"5"	""
"1022084"	"#1002345"	"Story"	"Fix problems 1015855 and 1013114"	"PI 16"	"New"	"1"	""
"1022074"	"#1021886"	"Story"	"Lab - SWIT Revitalize - CDR Collector restore implementation"	"EA 16.3"	"New"	"2"	""
"1022072"	"#1021886"	"Story"	"Lab - SWIT Revitalize - Drawing updates"	"EA 16.4"	"New"	"8"	""
"1022071"	"#1021886"	"Story"	"Lab - SWIT Revitalize - Infrastructure restore (ATM, RANI, RCG) implementation"	"EA 16.3"	"New"	"8"	""
"1022070"	"#1021886"	"Story"	"Lab - SWIT Revitalize - Corben simulator hardware and wiring documentation and config update implementation"	"EA 16.2"	"New"	"8"	""
"1022069"	"#1021886"	"Story"	"Lab - SWIT Revitalize - tools support for RDE environment"	"EA 16.2"	"New"	"1"	""
"1022068"	"#1007900"	"Story"	"Feature 1007900: Create CoCo Review of NME 14 and NME 15 servers"	"EA 16.1"	"New"	"1"	""
"1022066"	"#1021886"	"Story"	"Lab - SWIT Revitalize - tools support for RDE environment"	"EA 16.1"	"New"	"1"	""
"1022065"	"#1021886"	"Story"	"Lab - SWIT Revitalize - Corben simulator hardware and wiring documentation and config update implementation"	"EA 16.1"	"New"	"5"	""
"1022064"	"#1021886"	"Story"	"Lab - SWIT Revitalize - RNC upgrades implementation"	"EA 16.1"	"New"	"3"	""
"1022063"	"#1007900"	"Story"	"Feature 1007900: Remove HBSS from NME 14 and NME 15 servers"	"EA 15.3"	"New"	"1"	""
"1022059"	"#385442"	"Story"	"Feature 385442: Prepare and Hold Final Review of Capability Spec"	"EA 15.4"	"New"	"3"	""
"1022058"	"#385442"	"Story"	"Feature 385442: Prepare and Hold Final Review of Capability Spec"	"EA 15.4"	"New"	"3"	""
"1022055"	"#1022118"	"Story"	"Feature 385442: Create rules and- route spreadsheet from Juniper Routers[PI 16]"	"PI 16"	"New"	"5"	""
"1022054"	"#395897"	"Story"	"Feature 395897 :Develop Version2 of the Cybersecurity Assessment Guidance Document"	"EA 15.4"	"New"	"5"	""
"1022049"	"#1022118"	"Story"	"Feature 385442: Create  - rules spreadsheetand from McAfee Firewalls [PI 16]"	"PI 16"	"New"	"5"	""
"1022044"	"#1013452"	"Story"	"Feature 1013452: Update SIPRNet workstation for Ephemeris (for Windows)"	"EA 15.3"	"Implementing"	"3"	""
"1022042"	"#372921"	"Story"	"Support RMF IATT effort for call banks (Cyber) - 15.3"	"EA 15.3"	"Implementing"	"5"	""
"1022029"	"#1014387"	"Story"	"Feature 1014387: ADI/EMI/PRISM Support - POC Support"	"EA 15.3"	"New"	"1"	""
"1022028"	"#387446"	"Story"	"Mobility Call Flow Updates"	"EA 15.2"	"Done"	"1"	""
"1022027"	"#1006191"	"Story"	"Feature 1006191 Review all CAT 1 and CAT 2 findings and provide estimate to address"	"EA 15.3"	"New"	"1"	""
"1022026"	"#1006191"	"Story"	"Feature 1006191 Assist in the low level design effort, including DSN GW Prototype work, for DSN GW Obs effort"	"EA 15.2"	"Done"	"1"	""
"1022025"	"#1012748"	"Story"	"Canada FMS Capability Spec: lead author of SA section"	"EA 15.2"	"Done"	"2"	""
"1022021"	"#384084"	"Story"	"Feature 384084: Investigate updates to the FM Netcool topology to better reflect Nutanix hardware"	"EA 15.3"	"Implementing"	"2"	""
"1022019"	"#1007900"	"Story"	"Feature 1007900: Continued STCD Testing of IETM procedures"	"EA 15.3"	"Implementing"	"2"	""
"1022003"	""	"Problem"	"Vendor: PTP IP IKE exchange fails when SCIP and HAIPE FFV keys are both loaded"	"Unassigned"	"Assessing"	""	""
"1022002"	"#383165"	"Task"	"Feature 383165: Submit PDO for PL30-P59588E001 - SEIT - CABLE KIT - SF/ NMF, WAHIAWA, PARTS LIST"	"PI 16"	"New"	""	""
"1021988"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 98-P54107T – GEO – AMS-GS SVD"	"PI 16"	"New"	""	""
"1021987"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 99-P53449E - ILS - IETM"	"PI 16"	"New"	""	""
"1021986"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 99-P59435M – NMS – NM – Common – HW-SW Map"	"PI 16"	"New"	""	""
"1021985"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1021984"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 98-P54188T - NMS -NM - Security -AAA - SVD"	"PI 16"	"New"	""	""
"1021983"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 98-P55755M - Firewall - Network - SVD"	"PI 16"	"New"	""	""
"1021978"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 99-P57050M - NMS - NM Common PKI"	"PI 16"	"New"	""	""
"1021974"	"#1007900"	"Task"	"Feature 1007900: Submit PDO for 99-P53198T – NMS – NM – NEDB"	"PI 16"	"New"	""	""
"1021973"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 99-P57051M – NMS – NM – GSAM"	"PI 16"	"New"	""	""
"1021972"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 99-P53198T – NMS – NM – NEDB"	"PI 16"	"New"	""	""
"1021970"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 98-P59428M - NMS - NM - Security - SIEM - SVD"	"PI 16"	"New"	""	""
"1021967"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 98-P54199T - NMS - NM - Security - AntiVirusHIDS - SVD"	"PI 16"	"New"	""	""
"1021966"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 98-P54191T - NMS - NM - FCAP - FaultMgmt - SVD"	"PI 16"	"New"	""	""
"1021965"	"#1003390"	"Task"	"Feature 1003390: Submit PDO for 98-P54188T - NMS -NM - Security -AAA - SVD"	"PI 16"	"New"	""	""
"1021961"	"#388053"	"Story"	"Design FCAPS Replacement"	"EA 15.4"	"New"	"2"	""
"1021960"	"#1012748"	"Story"	"Canada FMS Capability Spec: Coordination of CS, cost estimates, IMS; author selected sections"	"EA 15.2"	"Done"	"1"	""
"1021957"	"#1009453"	"Story"	"Feature 1009453: Investigate the tracing for the AIU boards"	"EA 15.3"	"New"	"1"	""
"1021956"	"#1009453"	"Story"	"Feature 1009453: Investigate the tracing for the TRX boards"	"EA 15.3"	"New"	"1"	""
"1021955"	"#1009453"	"Story"	"Feature 1009453: Investigate the tracing for the TX boards"	"EA 15.3"	"New"	"1"	""
"1021954"	"#1021904"	"Story"	"<Feature 1021904>: Provide Deployment Notes and Operator Impact Inputs"	"EA 16.5"	"New"	"1"	""
"1021953"	"#1021904"	"Story"	"<Feature 1021904>- Prep and Perform Feature Demo  Customer Demo Event"	"EA 16.5"	"New"	"1"	""
"1021952"	"#1021904"	"Story"	"<Feature 1021904>: Initiate CM PDO Processing for all CI's"	"EA 16.5"	"New"	"1"	""
"1021951"	"#1021904"	"Story"	"<Feature 1021904>: ILS Incorporation of IETM updates and integration support (Change back to Falcons)"	"EA 16.4"	"New"	"1"	""
"1021950"	"#1021904"	"Story"	"<Feature 1021904>: Provide Development inputs to common documents"	"EA 16.4"	"New"	"2"	""
"1021949"	"#1021904"	"Story"	"<Feature 1021904>: Review the Site Functional Test Plan within STCD and get customer stakeholder approval"	"EA 16.4"	"New"	"2"	""
"1021948"	"#1021904"	"Story"	"<Feature 1021904>: Execute STCD Feature Integration and testing including STCD updates identified (Part 2 of 2)"	"EA 16.4"	"New"	"2"	""
"1021947"	"#1021904"	"Story"	"<Feature 1021904>: MFR 1  Dev Team Performs Cybersecurity Assessment"	"EA 16.3"	"New"	"1"	""
"1021946"	"#1021904"	"Story"	"<Feature 1021904>: Develop IETMs and Perform Development Testing"	"EA 16.3"	"New"	"3"	""
"1021945"	"#1021904"	"Story"	"<Feature 1021904> UX Research and Design Support (Change back to UX Team)"	"EA 16.3"	"New"	"3"	""
"1021944"	"#1021904"	"Story"	"<Feature 1021904>: Execute STCD Feature Integration and testing including STCD updates identified (Part 1 of 2)"	"EA 16.3"	"New"	"5"	""
"1021943"	"#1021904"	"Story"	"<Feature 1021904>: Perform Iterative Implementation, Integration, development Testing including updating design (Part 2 of 2)"	"EA 16.2"	"New"	"8"	""
"1021942"	"#1021904"	"Task"	"<Feature 1021904> Hold Feature Review with SMEs"	"EA 16.1"	"New"	""	""
"1021941"	"#1021904"	"Story"	"<Feature 1021904> Document Initial capability specification and detailed design to start Implementation"	"EA 16.1"	"New"	"3"	""
"1021940"	"#1021904"	"Story"	"<Feature 1021904>: Create STCD and review with stakeholders"	"EA 16.1"	"New"	"3"	""
"1021939"	"#1021904"	"Story"	"<Feature 1021904>: Perform Iterative Implementation, Integration, development Testing including updating design (Part 1 of 2)"	"EA 16.1"	"New"	"1"	""
"1021909"	"#354871"	"Story"	"Feature 354871: Integration and testing of NAVSOC OA Workstation upgrade (part 4 of 4)"	"EA 15.4"	"New"	"3"	""
"1021907"	""	"Problem"	"ExtremeSwitch SVD missing instructions to update OSPF MD5 authentication on switch to match firewalls"	"Unassigned"	"Triage"	""	""
"1021906"	""	"Problem"	"AMP missing instructions to update OSPF MD5 authentication on switch to match firewalls"	"Unassigned"	"Triage"	""	""
"1021904"	""	"Feature"	"ETI - ACU backup procedure, IETM updates and ET SVD updates required"	"PI 16"	"Analyzing"	""	""
"1021903"	"#383958"	"Story"	"Feature 383958 Bulk SAR: Complete testing of importing"	"EA 15.3"	"Invalid"	"0"	""
"1021902"	"#383958"	"Story"	"Feature 383958 Bulk SAR: Update design materials and complete testing"	"EA 15.3"	"Implementing"	"2"	""
"1021897"	"#1002345"	"Story"	"Fix Problem 375419: Signaling Link Unavailable alarm includes specifics in ""Summary"" such that O-Level could not find this specific alarm and perform recovery procedure."	"EA 15.3"	"New"	"2"	""
"1021894"	"#1011295"	"Story"	"Feature 1011295: Update Drawings for GEO Removal Problem 392388"	"EA 15.5"	"New"	"5"	""
"1021893"	"#1011295"	"Story"	"Feature 1011295: Update Drawings for GEO Removal Problem 392388"	"EA 15.5"	"New"	"2"	""
"1021891"	"#1014387"	"Story"	"Feature 1014387: ETISP SW/SVD Review Completion"	"EA 15.3"	"Implementing"	"2"	""
"1021886"	"#1012099"	"Feature"	"Lab - SWIT Revitalize - RAN SWIT Implementation (2nd of 3 Features)"	"PI 16"	"Ready for PO Sync Approval"	""	""
"1021885"	"#332951"	"Story"	"Feature 332951: SME Support of RBS IETM Updates (15.3)"	"EA 15.3"	"Implementing"	"2"	""
"1021874"	"#1013136"	"Story"	"Feature 1013136: WF PWI Burndown - Leslie"	"EA 15.3"	"New"	"1"	""
"1021869"	"#1013234"	"Story"	"Feature 1013234: Test/validate compatibility of TomeEE JMS / ActiveMQ - part 3"	"EA 15.3"	"Implementing"	"3"	""
"1021868"	"#387448"	"Story"	"Update P2P Communication Call Flows"	"EA 15.3"	"New"	"1"	""
"1021859"	"#1011150"	"Story"	"Feature 1011150: Incorporate IETM finding into NetCool IETM for recovery of alarms due to password changes"	"EA 15.3"	"New"	"1"	""
"1021858"	"#1011150"	"Story"	"Update NetCool IETM for recovery of alarms due to password changes"	"EA 15.3"	"Implementing"	"3"	""
"1021856"	"#377437"	"Task"	"Feature 377437: IETM Development and Integration Updates for Gen 2 ETT Laptops"	"EA 15.3"	"In Development"	""	""
"1021848"	"#1008506"	"Story"	"Investigate Severity Change to Major for Netcool password changes"	"PI 16"	"New"	"3"	""
"1021841"	"#1009453"	"Story"	"Feature 1009453: Execute tests for DL power spike investigation (Lab team)"	"EA 15.3"	"Implementing"	"2"	""
"1021840"	"#1013452"	"Story"	"Feature 1013452: EAD 18 rebase story for MPC EAD14.43/MPC EA16.x"	"PI 16"	"New"	"1"	""
"1021832"	"#1020744"	"Story"	"Implement SWIT MUOS Domain Changes to Support first.last User ID Migration"	"PI 16"	"New"	"5"	""
"1021829"	"#1021499"	"Story"	"Feature 1021499: WWTS Trouble Ticket Support"	"EA 16.1"	"New"	"1"	""
"1021822"	"#1021044"	"Story"	"Polatis Switch Update - Initiate CM PDO Processing for SVD updates for Power supply replacement procedure and all other Cis"	"EA 16.5"	"New"	"2"	""
"1021821"	"#1021044"	"Story"	"Lab - Polatis Switch Update - MFR 3  CSE Completes Final CAP (Change back to Cyber Security Engineering) - Part 3b"	"EA 16.4"	"New"	"2"	""
"1021820"	"#1021044"	"Story"	"Polatis Switch Update - Create Coco Review for Power supply replacement procedure"	"EA 16.4"	"New"	"1"	""
