"Id"	"Parent"	"Type"	"Summary"	"Planned For"	"Status"	"Story Points (numeric)"	"Blocks"
"1021250"	"#262745"	"Story"	"Feature 262745: Write recovery Procedure 359"	"EA 16.2"	"New"	"5"	""
"1021249"	"#262745"	"Story"	"Feature 262745: Write recovery Procedure 336"	"EA 16.2"	"New"	"5"	""
"1021248"	"#262745"	"Story"	"Feature 262745: Write recovery Procedure 335"	"EA 16.1"	"New"	"5"	""
"1021247"	"#262745"	"Story"	"Feature 262745: Write recovery Procedure 328 &331"	"EA 16.1"	"New"	"5"	""
"1021246"	"#262745"	"Story"	"Feature 262745: Review the Site Functional Test Plan within STCD and get customer stakeholder approval"	"EA 16.3"	"New"	"2"	""
"1021245"	"#262745"	"Story"	"Feature 262745: Execute STCD Feature Integration and testing including STCD updates identified"	"EA 16.4"	"New"	"2"	""
"1021244"	"#262745"	"Story"	"Feature 262745: ILS support - Review of NMS alarms recovery procedures"	"EA 16.3"	"New"	"1"	""
"1021243"	"#262745"	"Story"	"Feature 262745: ILS Incorporation of IETM updates and integration support"	"EA 16.2"	"New"	"1"	""
"1021242"	"#262745"	"Story"	"Feature 262745: NMS alarms: Create STCD and review with stakeholders"	"EA 16.2"	"New"	"3"	""
"1021241"	""	"Story"	"Feature 262745: UX Support for for NMS alarms (Part 2 of 2)"	"EA 16.3"	"New"	"2"	""
"1021240"	""	"Story"	"Feature 262745: UX Support for for NMS alarms (Part 1 of 2)"	"EA 16.2"	"New"	"2"	""
"1021239"	""	"Story"	"Feature 262745: Support review of NMS alarms recovery procedures (leader)"	"EA 16.3"	"New"	"3"	""
"1021237"	""	"Story"	"Feature 262745: MFR 1 – Dev Team Performs Cybersecurity Assessment"	"EA 16.3"	"New"	"1"	""
"1021236"	"#1014387"	"Story"	"Feature 1014387: ADI/EMI/PRISM Support - POC Support (16.3)"	"EA 16.3"	"New"	"3"	""
"1021235"	"#1014387"	"Story"	"Feature 1014387: ADI/EMI/PRISM Support - POC Support (16.2)"	"EA 16.2"	"New"	"2"	""
"1021205"	"#1021169"	"Story"	"<Feature 1021169>: Perform Iterative Implementation, Integration, development Testing including updating design (Part 2 of 2)"	"EA 16.2"	"New"	"8"	""
"1021204"	"#1021169"	"Story"	"<Feature 1021169>: Execute STCD Feature Integration and testing including STCD updates identified (Part 2 of 2)"	"EA 16.4"	"New"	"2"	""
"1021193"	"#383958"	"Story"	"Feature 383958: Bulk SAR Code Review (Part 1 of 2)"	"EA 15.3"	"New"	"1"	""
"1021183"	"#1021169"	"Story"	"<Feature 1021169>: Initiate CM PDO Processing for all CI's"	"EA 16.5"	"New"	"1"	""
"1021182"	"#1021169"	"Story"	"<Feature 1021169>- Prep and Perform Feature Demo – Customer Demo Event"	"EA 16.5"	"New"	"1"	"#1021183"
"1021181"	"#1021169"	"Story"	"<Feature 1021169>: Review the Site Functional Test Plan within STCD and get customer stakeholder approval"	"EA 16.4"	"New"	"2"	"#1021182"
"1021180"	"#1021169"	"Story"	"<Feature 1021169>: Execute STCD Feature Integration and testing including STCD updates identified (Part 1 of 2)"	"EA 16.3"	"New"	"5"	"#1021182"
"1021179"	"#1021169"	"Story"	"<Feature 1021169>: Provide Development inputs to common documents"	"EA 16.4"	"New"	"2"	"#1021182"
"1021178"	"#1021169"	"Story"	"<Feature 1021169>: ILS Incorporation of IETM updates and integration support (Change back to Falcons)"	"EA 16.4"	"New"	"1"	""
"1021177"	"#1021169"	"Story"	"<Feature 1021169> UX Research and Design Support (Change back to UX Team)"	"EA 16.3"	"New"	"3"	""
"1021176"	"#1021169"	"Story"	"<Feature 1021169>: Develop IETMs and Perform Development Testing"	"EA 16.3"	"New"	"3"	"#1021182"
"1021175"	"#1021169"	"Story"	"<Feature 1021169>: MFR 1 – Dev Team Performs Cybersecurity Assessment"	"EA 16.3"	"New"	"1"	"#1021182"
"1021174"	"#1021169"	"Story"	"<Feature 1021169>: Perform Iterative Implementation, Integration, development Testing including updating design (Part 1 of 2)"	"EA 16.1"	"New"	"1"	"#1021182"
"1021173"	"#1021169"	"Story"	"<Feature 1021169>: Provide Deployment Notes and Operator Impact Inputs"	"EA 16.5"	"New"	"1"	"#1021182"
"1021172"	"#1021169"	"Story"	"<Feature 1021169>: Create STCD and review with stakeholders"	"EA 16.1"	"New"	"3"	"#1021180
#1021174
#1021182
#1021181"
"1021171"	"#1021169"	"Story"	"<Feature 1021169> Document Initial capability specification and detailed design to start Implementation"	"EA 16.1"	"New"	"3"	"#1021174
#1021172"
"1021169"	""	"Feature"	"Lab - External Interference Coefficients Calculation Procedure"	"PI 16"	"Analyzing"	""	""
"1021137"	"#1014596"	"Story"	"Feature 1014596: Support Channel Processor Dev (Part 3)"	"EA 15.4"	"New"	"1"	""
