,BlockerId,BlockedId
0,1009453,1017077
1,1006843,1007167
2,385428,385429
3,385422,385428
4,385422,385431
5,385422,385430
6,384136,1007900
7,384036,380808
8,381606,381659
9,381603,381627
10,368169,369536
11,342054,1013259
12,328729,311386
13,327793,327823
14,313740,310609
15,313740,310578
16,313740,310299
17,313740,310443
18,313740,309972
19,313740,310532
20,310297,310018
21,310297,313740
22,310018,310295
23,293371,293375
24,292429,270631
25,290618,290622
26,288136,291060
27,283333,293238
28,274035,273909
29,273932,273909
30,262648,262662
31,259557,232525

,Team,FeatureId,Summary
6691,Alicorn,302643,ETISP eRxIM increase single threshold parameter to eight parameters (one per feederlink)
5034,Alicorn,355228,RF and Tracking Alignment Site # 3 (Relo) - WH
5017,Alicorn,355645,OBS - ETI: Software Re-Design of ETISP to support Option 3
4966,Alicorn,358656,"Address missing and ""not appropriate for O-level operator"" ET alarm recovery procedures"
4957,Alicorn,358881,Updates for ET Alarm Recovery Procedures [O-Level - Needs Updates]
4880,Alicorn,360449,OBS - ETI: Option 3 System Design Review
4552,Alicorn,371602,Understand eRxIM response parameters and develop a framework to evaluate the impact of eRxIM on operations
4171,Alicorn,384153,ETI - TPM: Prototype and Refactor ETI Manager Design Solution 
4159,Alicorn,384168,"OBS - TPM: Develop, integrate, and test ETI Manager solution into VLab"
4020,Alicorn,387276,TD 20-05: ULX System Assessment
3959,Alicorn,388549,TD 19-15: Create ULX Detailed Design
3949,Alicorn,388990,FRB 2019_15 Design review millitron protection algorithm and review B2U firmware design
3775,Alicorn,392058,ETI Alarms: Add/Update IETM Alarm Recovery Procedures (Part 2 of 4) [Non-O-Level]
3391,Alicorn,396710,ETI Add/update IETM alarm recovery procedures for ETI/ETISP alarms (part 4 of 4 [Non-O-Level]
1097,Alicorn,1013961,ETISP: Develop ETISP Replacement Capability Specification
1096,Alicorn,1013962,ETISP: Develop ETI-Manager Capability Design Document
1052,Alicorn,1014162,ETISP: Develop Requirements and System Level Design Constraints for HW Vender
900,Alicorn,1014595,"TO-9: Update ULX Detailed Design (Design Specification, Verification Plan, Draft Users Guide)"
899,Alicorn,1014596,TO-9: Develop Channel Processor Prototype for ULX
898,Alicorn,1014597,TO-9: Develop and Test ULX Manager and Monitor and Control
897,Alicorn,1014598,TO-9: Develop Build and Development Tools
893,Alicorn,1014602,TO-9: Build ULX System 1 and 2
632,Alicorn,1015827,Add/update IETM alarm recovery procedures for ETI alarms (part 3 of 4) [Non-O-Level]
7415,Cyber,243130,Develop IA Update Process
7285,Cyber,261492,RMF Step 4 - RMF System Level Continuous Monitoring (SLCM) Strategy artifact updates (GD support to PMW-146)
7013,Cyber,276005,Perform Vulnerability Management capability investigation - Part 1
7007,Cyber,276932,Perform trade studies for developing/purchasing Cyber Security Tools to be used in GD Lab and/or at site to support ongoing RMF assessments
6742,Cyber,295160,Perform Security Controls tracing for technical/functional controls
6735,Cyber,296198,Perform Device Access Control capability investigation - Part 1
6734,Cyber,296254,Perform Cyber Incident Response capability investigation - Part 1
6733,Cyber,296263,Perform Disaster Recovery capability investigation - Part 1
6531,Cyber,316302,Perform Cybersecurity Situational Awareness capability investigation - Part 2
6530,Cyber,316303,Perform Cyber Incident Response capability investigation - Part 2
6529,Cyber,316310,Perform Device Access Control capability investigation - Part 2
6528,Cyber,316311,Perform Asset Management capability investigation - Part 2
6527,Cyber,316315,Perform Disaster Recovery capability investigation - Part 2
6526,Cyber,316321,Perform Vulnerability Management capability investigation - Part 2
6398,Cyber,320564,"Update MUOS GS security functional architecture description, incorporate completed Part 1 Cyber capability investigations"
6397,Cyber,320566,"Analyze RMF priority findings, propose future IA remediation features"
6396,Cyber,320595,Perform Cross Domain Solutions capability investigation
6326,Cyber,324842,Feature 324842: Remediate IA Findings (identified Q2 2018) for RAF/SF Load Balancers
6306,Cyber,324932,Feature 324932: IA Remediation for Linux-based Splunk servers  (identified Q2 2018)
6293,Cyber,324993,Feature 324993: Remediate IA Findings (identified Q2 2018) for Solaris 10 mm11 and mm12 servers
6273,Cyber,325080,Feature 325080: Remediate IA Findings (identified Q2 2018) for Linux-T400 gw01/gw02 devices
6246,Cyber,325126,Feature 325126: Remediate IA Findings (identified Q2 2018) for Windows 2003 inf servers
6233,Cyber,325142,Feature 325142: Remediate IA Findings (identified Q2 2018) for Solaris 9 GIS/MAS servers
6207,Cyber,325227,Feature 325227: Remediate IA Findings (identified Q2 2018) for Solaris 9 NMS-FM servers
6178,Cyber,325746,Feature 325746: Remediate IA Findings (identified Q2 2018) for Windows 2012 inf servers
6109,Cyber,329380,Feature 329380: Remediate IA Findings (identified Q2 2018) for QNX Front End Processor (FEP) devices
5833,Cyber,335885,Feature 335885: Remediate IA Findings (Identified Q4 2018) for Solaris 9 NMF Ericsson servers
5798,Cyber,335969,Feature 335969: Remediate IA Findings (Identified Q4 2018) for Solaris 9 DNS Servers
5768,Cyber,336108,Feature 336108: Remediate IA Findings (identified Q4 2018) for Windows 2003 NMF FCAP/FCAPS servers
5652,Cyber,342384,Feature 342384 Remediate IA Findings - remove Adobe Reader from servers
5091,Cyber,354228,Respond to PMW Access Control Policy reccomendations
4715,Cyber,365530,Cyber Assesment laptops
4534,Cyber,372921,Cyber RMF Accreditation of Call Bank Radio System
3872,Cyber,390286,Cyber BlueSheets
3721,Cyber,392530,Cyber IA Patching - PI 14 (Recurring)
3605,Cyber,395373,Cyber Sustainment Activities - PI 14 (Recurring)
3558,Cyber,395688,Cyber: TO3 IA Patching - PI 15 (Recurring)
3538,Cyber,395835,Cyber MFR Support - PI 14 (Recurring)
3533,Cyber,395853,Cyber: MFR Deployment Support - PI 15 (Recurring)
3515,Cyber,395897,Cyber: RMF Continuous Monitoring - PI 15 (Recurring)
3020,Cyber,1001636,Cyber: CAT1 Mitigation and Burndown
1621,Cyber,1012503,Cyber: Patch NMS and SCS Radiant Mercury Guards in GD Labs
1561,Cyber,1012738,Cyber: Patch GFE Radiant Mercury Guard at Zeta
862,Cyber,1014737,Cyber Sustainment Activities - PI 16 (Recurring)
6546,Falcons,315734,Add/Update IETM to Transition from D Level to O Level Repair for DIMM Modules (LORA Updates)
6436,Falcons,319178,Add/Update IETM to Transition from D Level to O Level Repair for Juniper Board Forwarding Boards (LORA Updates)
5667,Falcons,341999,TD19-10: Deliver Connected AWARE Training for Sicily EAD 18 Deployment
5455,Falcons,346597,"IETM: Update IETM ""How to Use This IETM"" Content"
5124,Falcons,353134,Deliver Maintainer Refresher Training in SC
5118,Falcons,353256,Deliver Maintainer Refresher Training in AU
5114,Falcons,353345,Deliver Maintainer Refresher Training in WH
4469,Falcons,377408,Coordinate and Complete Non-Feature IETM Content for EAD 16 (Recurring)
4438,Falcons,379175,Falcons PTO Tracker
3689,Falcons,393265,Coordinate and Complete Non-Feature IETM Content for EAD 17 (Recurring)
3412,Falcons,396508,Deliver EAD 15 Training
3401,Falcons,396663,Assess Training Needs and Plan Training for Development During PI 14 (Recurring)
2984,Falcons,1002089,Update Refresher Training Materials to Include Redlines from WH and SC Refresher Training Events
2951,Falcons,1002477,Incorporate CRM comments into the Training Conduct Support Package (A013)
1945,Falcons,1010653,Assess Training Needs and Plan Training for Development During PI 15 (Recurring)
1690,Falcons,1011652,Assess Training Needs and Plan Training for Development During PI 17 (Recurring)
1625,Falcons,1012485,Task Analysis (JDTA) (CDRL A011)
1437,Falcons,1013365,Deliver EAD 16 Training (including Nutanix)
70,Falcons,1018285,Coordinate and Complete Non-Feature IETM Content for EAD 18 (Recurring)
7591,Labradors,218902,V-Lab like Site Analysis
7327,Labradors,250449,Lab - WCTB Maintenance Training
6973,Labradors,279283,Lab - TXO Ericsson - Create and update HIGH priority board test procedures for testing Ericsson parts
5087,Labradors,354372,Lab - TXO Ericsson - Re-test Ericsson parts from TXO from Initial 2018 bulk buy warranty replacement boards
5033,Labradors,355229,Tracking Alignment Site # 4 (Relo) - AU
