RTCid,Parent,Type,Summary,Sprint,Team,SP,Blocks
1011684,342054,Story,Create MPC for Splunk AWARE EAD-15 release,14.2,SIC,1,
1011649,395871,Story,Feature 395871: TOFF LOE - FRB Support - EA 14.2,14.2,TOFF,2,
1011486,396819,Story,Lab - Support - G. Lyon (14.1),14.1,Magic,1,
1011484,385856,Story,Feature 385856: Conversion to ACC - Capability Spec Writeup for Ground System (EA 14.3),14.3,Magic,2,
1011483,385856,Story,Feature 385856: Conversion to ACC - Systems Effort (EA 14.3),14.3,Magic,3,
1011471,395174,Story,Feature 395174: Complete Spares Analysis for EAD 16,14.5,Octopi,2,
1011372,377408,Problem,"Update IETM Procedure "" Add Domain Account to McAfee Firewall - Normal Operation Procedure"" with special note and update title",14.4,Magic,0,
1011370,384036,Story,Feature 384036: Create Cisco Switch PKI Instructions,14.3,Okapi,2,1006877
1011349,384036,Story,Feature 384036: Replace TBDs with IETM Procedures in Nutanix FM alarm whitelist,14.2,Okapi,2,
1011346,384036,Story,Feature 384036 SNMP for Cisco Switch Whitelist Development,14.2,Okapi,2,
1011344,384036,Story,Feature 384036: Sumarization of the Nutanix Alert Recovery Procedures Testing,14.2,Okapi,1,
1011339,354680,Story,Feature 354680 (Site): IA - Initial Scan on Splunk HA loaner equipment (Part 2),14.2,SIC,3,
1011333,354680,Story,Feature 354680 (Site): IA Patching and STIGs (Wrap-up),14.2,SIC,1,
1011277,353345,Story,Feature 353345: Travel from Site to Conduct Refresher Training at WH (Trainer 1),14.2,Falcons,1,
1011276,353345,Story,Feature 353345: Travel from Site to Conduct Refresher Training at WH (Trainer 2),14.2,Falcons,1,
1011274,390286,Story,Feature 390286: Final Deployment Notes and Operator Impact Inputs for Blue Sheets EAD 16,14.3,Cyber,2,
1011260,384036,Story,Feature 384036: Test Nutanix Power Supply Failure Alert Recovery Procedure,14.2,Okapi,1,
1011259,384036,Story,Feature 384036: Test Nutanix Node Failure Alert Recovery Procedure,14.2,Okapi,1,
1011258,384036,Story,Feature 384036: Test Nutanix High Disk Space Utilization Alert Recovery Procedure,14.2,Okapi,2,
1011257,384036,Story,Feature 384036: Test Nutanix Disk Removal Alert Recovery Procedure,14.2,Okapi,1,
1011256,384036,Story,Feature 384036: Test Nutanix Disk Failure Alert Recovery Procedure,14.2,Okapi,2,
1011166,395871,Story,Feature 395871: Labradors - Evaluation of severity/probability for ET recovery procedures - EA 14.2,14.2,Labradors,1,
1011049,372921,Story,Support RMF IATT effort for call banks (Cyber) - 14.2,14.2,Cyber,3,
1011023,388076,Story,Feature 388076: Do PWI work for Problem 347180,14.2,WWTS,2,
1011022,342054,Story,Feature 342054: WH alignment MPC work,14.2,Labradors,3,
1011010,388076,Story,Feature 388076: Do PWI work for Problem 345802,14.2,WWTS,2,
1010897,388076,Story,Feature 388076: Do PWI work for Problem 345718,14.2,WWTS,3,
1010896,386935,Story,"Feature 386935: IETM Updates and Integration Support for MUOS Geolocation Support, Maintenance  Zeta EAD 15",14.2,Falcons,1,
1010887,1006843,Story,Determine Log/Data Files that Need to Pass Through Guard - SE,14.2,System Engineering,2,
1010885,354646,Story,MUOS Terminal Trade,14.3,System Engineering,3,
1010883,1005740,Story,Lead DSN GW Obs work,14.1,System Engineering,1,
1010882,388004,Story,Feature 388004: TD0202-18-13 Unclass GDS Analysis,14.2,System Engineering,1,
1010881,387448,Story,Update P2P Communication Call Flows,14.2,System Engineering,1,
1010880,377437,Story,Investigate the build process for Simulation Framework and perform a test build if possible,14.2,Tools,2,
1010879,382895,Story,Feature 382895: ADI/EMI/PRISM Support,14.1,System Engineering,1,
1010713,377437,Story,Update Account Maintenance Plan (EAD 16),14.5,Okapi,1,
1010708,389549,Story,Support PPA,14.2,System Engineering,1,
1010663,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom G (14.2)",14.2,Labradors,2,
1010459,384036,Story,Update the WH NMF power-down /power-up procedures to include Nutanix,14.2,Okapi,2,
1010432,395855,Story,Feature 395855: Update 01-P52843E001 for Removing Connected AWARE,14.2,Octopi,1,
1010405,395174,Story,"Feature 395174: FRB Testing of the 1536_MHZ_ CLOCK_ SYNTHESIZER_ CARD, PN = WS2P/CLKGEN/1536, SN = 1000211",14.4,Labradors,3,
1010393,390286,Story,"Feature 390286: Resolve Issues with “MUOS Password Policy"" document",14.2,Cyber,2,
1010273,378000,Story,Feature 378000: AWARE O-Level Procedure Updates - Support of Independent Test (Dry Runs),14.1,Falcons,2,
1010120,396819,Story,"Lab - Maintain Labs - Facility Management, come up to speed on lab custodian tasks - Carl (14.1)",14.1,Labradors,3,
1009991,354680,Story,ATO Maintenance: Verify IA Remediation for Access Control and Password Complexity on Splunk Servers,14.3,SIC,1,
1009987,396437,Story,Feature 396437: Document the RCG build process and generate a baseline build on rcg_dev before it is decomissioned,14.2,WWTS,2,
1009986,396437,Story,"Feature 396437: Identify and document what is on rcg_dev (code, tools, versions, etc.)",14.2,WWTS,1,
1009935,342054,Story,"Feature 342054: Test Report, needed 45 days prior to FRCB.",14.4,Magic,1,
1009934,342054,Story,"Feature 342054: Complete System Operational Verification Test, SOVT, needed 45 days prior to FRCB (complete through CM Release) (Submit to LM by <date>)",14.4,Magic,5,
1009933,342054,Story,Feature 342054: Complete BESEP (NRTP Sicily) and Submit to by <date>,14.4,Magic,1,
1009932,342054,Story,"Feature 342054: Sicily Completion of Installation Design Plan IDP, needed 120 days prior to FRCB",14.4,Magic,1,
1009930,318380,Story,IETM Procedure: Feature demo the IETM changes for EAD 15,14.1,Okapi,1,
1009929,318380,Story,Feature 318380: IETM Procedure: Falcons Update per Style Guide and Incoporate into IETM and MTB,14.1,Falcons,2,1009930
1009928,318380,Story,IETM Procedure: Create instructions to use new FTP on Windows 10 MTC/AJM Laptop when performing AJM Repair and Replace,14.1,Okapi,1,1009929
1009907,368860,Story,Feature: 368860 High-Level System Architecture ~ PtP,14.1,System Engineering,5,
1009818,395174,Story,"Feature 395174: FRB Testing of the AIR DEHYDRATOR, ADH3-COM of PN = 17479 (AU), SN = 1293 (AU)",14.4,Labradors,3,
1009817,395174,Story,"Feature 395174: FRB Testing of the AIR DEHYDRATOR, ADH3-COM of PN = 17479 (SC),  SN = 1337",14.2,Labradors,3,
1009816,395174,Story,"Feature 395174: FRB Testing of the AIR DEHYDRATOR, ADH3-COM of PN = 17479, SN = 1178 and SN 1267",14.4,Labradors,3,
1009808,378000,Problem,Connected AWARE: SLE Alarm – AWARE failed to connect to SLE and alarm recovery procedure wiped out configuration parameters,14.1,Magic,0,
1009581,378000,Problem,AWARE: WH- awrsw101-wh-raf unable to login with emadmin or muos (failsafe) account,14.1,Magic,0,
1009578,378000,Problem,Connected AWARE: SLE Alarm – AWARE failed to connect to SLE and alarm recovery procedure wiped out configuration parameters,14.1,Magic,0,
1009510,318430,Story,Feature 318430 ETT Laptop - Feature Demo – Customer Demo Event,14.1,Okapi,1,
1009493,384036,Story,Feature 384036: Update AAA\DNS to support the Nutanix integration in VLAB,14.1,TOFF,1,
1009491,386935,Problem,Rebase MPC 14.27 into EAD16 baseline - Correct 5 KHz calibration bias. - Code Change needed only in RAF servers.,14.2,Magic,0,
1009457,354174,Story,Feature 354174: Begin Review of IETM Update for SPLUNK Update,14.1,Falcons,2,
1009291,318430,Story,Quick Functional test of MTC /AJM and ETT Gen2 Laptops,14.2,Okapi,1,
1009091,1001912,Story,Feature 1001912: WF PWI burndown,14.2,WWTS,3,
1009066,384036,Story,Feature 384036: Get ClearCase and ClearQuest Accounts to support NEDB,14.1,Okapi,1,
1009021,396819,Story,"Lab - Maintain Labs - RF, WCTB, WILMAs outage debug, recovery and repair - Tom G. (14.1)",14.1,Labradors,2,
1009017,382895,Story,Feature 382895: ADI/EMI/PRISM Support,14.1,Labradors,2,
1009015,382895,Story,Feature 382895: ADI/EMI/PRISM Support (Tom),14.1,Labradors,1,
1009012,382895,Story,Feature 382895: ADI/EMI/PRISM Support (Glen),14.1,Labradors,2,
1008981,378000,Story,Feature 378000: GSAM (AMP) Updates for AWARE O-Level Procedures,14.1,Magic,1,
1008840,381608,Story,Feature 381608: Create the Site Functional Test Cases,14.1,WWTS,1,
1008818,379761,Story,Feature 379761 FM Whitelist: MFR 1 write up,14.3,SIC,1,
1008817,354871,Story,Feature 354871: Integration and testing of NAVSOC OA Workstation upgrade (14.5),14.5,TOFF,3,
1008816,378000,Story,Feature 378000: AWARE for SC IETM Updates - Independent Test (Dry Runs) - Observer,14.1,Falcons,8,
1008804,372921,Story,Support RMF IATT effort for call banks (Cyber) - 14.4,14.4,Cyber,3,
1008796,378000,Problem,AWARE Alarm Recovery Procedures Refer to Accounts/Passwords that Do Not Exist at Site (Account Maintenance Plan),14.1,Magic,0,
1008793,378000,Problem,Unable to Log Out User from AWARE VM,14.1,Magic,0,
1008791,378000,Problem,Typos/Administrative Errors in AWARE Alarm Recovery and IETM Procedures,14.1,Magic,0,
1008736,381524,Story,Feature 381524 PB: Create recovery procedure for new prov bridge faults,14.4,SIC,5,381528
1008734,386935,Story,Feature 386935: Update IETM Procedure - Regular Maintenance Procedure for backing up Geo DB files.,14.1,Magic,2,
1008724,381524,Story,Feature 381524 PB: Support Fix Problem 381547,14.4,SIC,2,
1008721,381524,Story,Feature 381524 PB: Support Fix Problem 381547,14.3,SIC,2,
1008719,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (14.5),14.5,Labradors,2,
1008718,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (14.4),14.4,Labradors,2,
1008715,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (14.3),14.3,Labradors,2,
1008714,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (14.2),14.2,Labradors,2,
1008713,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Marroquin (14.1),14.1,Labradors,2,
1008712,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Chavez (14.5),14.5,Labradors,2,
1008711,396819,Story,Lab - Maintain Labs - Bring up / Maintain WDE radio for PWI Burndown feature - Chavez (14.4),14.4,Labradors,2,
