Start,FeatureId,Sprint,SP,End
1011370,384036,14.3,2,1006877
1009929,318380,14.1,2,1009930
1009928,318380,14.1,1,1009929
1008736,381524,14.4,5,381528
1008621,1007536,14.4,2,1007544
1008621,1007536,14.4,2,1007542
1008621,1007536,14.4,2,1007543
1008611,1007536,14.2,3,1007543
1008611,1007536,14.2,3,1007542
1008611,1007536,14.2,3,1007544
1008609,392743,14.2,3,1008584
1008605,392743,14.2,2,1008609
1008584,392743,14.3,1,1008585
1008231,1007536,14.3,5,1008625
1008231,1007536,14.3,5,1008623
1008231,1007536,14.3,5,1008621
1008110,381524,14.4,5,381547
1007801,383168,14.3,2,1007802
1007770,392743,14.1,5,1008605
1007753,1007536,14.1,2,1008231
1007751,1007536,14.1,2,1008231
1007748,1007536,14.1,2,1008231
1007694,377437,14.4,3,1004266
1007049,384136,14.3,2,1007605
1007030,1006376,14.4,5,391361
1007026,1006376,14.1,2,1008115
1007026,1006376,14.1,2,1007838
1007026,1006376,14.1,2,1007029
1007026,1006376,14.1,2,1007837
1006873,384036,14.3,3,1006877
1004858,384136,14.1,2,1007603
1004856,384136,14.1,2,1007603
1004266,377437,14.4,3,1004660
1004266,377437,14.4,3,1004659
1004266,377437,14.4,3,1004666
1004266,377437,14.4,3,1004649
1004262,377437,14.4,3,1004662
1004246,377437,14.4,3,377438
1004246,377437,14.4,3,377441
1004246,377437,14.4,3,1004266
1004245,377437,14.2,5,1005511
1004245,377437,14.2,5,1004244
1004245,377437,14.2,5,1007694
1004244,377437,14.3,5,1005510
1004244,377437,14.3,5,1007694
1004244,377437,14.3,5,1004246
1004243,377437,14.1,5,1005509
1004243,377437,14.1,5,1004245
1004243,377437,14.1,5,1007694
1003372,384136,14.2,3,1007603
1002350,1002345,14.4,8,1002351
1002350,1002345,14.4,8,1002362
1002348,1002345,14.3,3,1002362
1002348,1002345,14.3,3,1002360
1002348,1002345,14.3,3,1002350
1002348,1002345,14.3,3,1002361
1001261,1001248,14.4,1,1001262
1001260,1001248,14.4,2,1001261
1001259,1001248,14.3,2,1001261
1001254,1001248,14.3,1,1001261
1001253,1001248,14.1,5,1001261
1001252,1001248,14.2,1,1001261
1001251,1001248,14.1,2,1001253
1001251,1001248,14.1,2,1001261
1001251,1001248,14.1,2,1001260
1001251,1001248,14.1,2,1001259
1001057,297335,14.2,5,334396
1000853,293338,14.2,5,342802
396505,396492,14.1,2,396506
396496,396492,14.1,1,396505
395918,395855,14.4,1,395919
395917,395855,14.4,1,395918
395916,395855,14.4,1,395918
395866,395855,14.3,1,395867
395865,395855,14.3,1,395866
395864,395855,14.2,1,395866
395860,395855,14.2,1,395862
389813,384136,14.1,5,389882
389452,354680,14.2,2,354682
389451,354680,14.1,2,354682
388473,383165,14.5,1,388472
387371,384136,14.1,5,1007603
387236,384136,14.1,3,390232
386948,386935,14.4,1,386949
386946,386935,14.4,2,386948
386942,386935,14.3,2,386948
386941,386935,14.2,2,386948
386940,386935,14.2,5,386948
386939,386935,14.3,2,386948
386938,386935,14.2,3,386948
386938,386935,14.2,3,386940
386938,386935,14.2,3,386946
384597,297335,14.4,3,390317
384597,297335,14.4,3,384596
384596,297335,14.5,5,390317
384147,384136,14.2,5,384149
384147,384136,14.2,5,389884
384144,384136,14.1,5,390080
384141,384136,14.3,5,384149
384138,384136,14.3,2,384139
384138,384136,14.3,2,384141
384097,384084,14.4,2,384098
384095,384084,14.3,3,384097
384094,384084,14.3,2,384097
384089,384084,14.1,3,384097
384088,384084,14.4,1,384097
384069,384036,14.2,2,384042
383966,383958,14.3,3,383964
383966,383958,14.3,3,383960
383075,381524,14.3,2,1008110
383074,381524,14.2,3,383075
379766,379761,14.4,1,379763
379765,379761,14.3,5,379769
379764,379761,14.1,2,379763
379762,379761,14.2,1,379767
378002,378000,14.1,1,378009
377438,377437,14.5,5,377443
354763,352931,14.5,3,354768
354762,352931,14.4,5,354768
354761,352931,14.2,3,354762
354687,354680,14.3,2,354682
354686,354680,14.1,5,354683
354685,354680,14.4,2,354682
354683,354680,14.2,2,354682
354681,354680,14.1,3,354686
354182,354174,14.3,8,354176
354181,354174,14.3,2,354176
354179,354174,14.4,1,354176
354176,354174,14.4,1,354183
342862,293338,14.2,3,1000852
342802,293338,14.2,8,334844
342802,293338,14.2,8,342851
342802,293338,14.2,8,334849
342802,293338,14.2,8,342850
342802,293338,14.2,8,342873
334396,297335,14.3,5,344115
318432,318430,14.1,3,318439
318432,318430,14.1,3,390060
318420,1011279,14.3,3,318418
