FeatureId,Team,Summary,Start,Sprint,SP,End
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001261,14.4,1,1001262
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001260,14.4,2,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001259,14.3,2,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001254,14.3,1,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001253,14.1,5,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001252,14.2,1,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001251,14.1,2,1001253
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001251,14.1,2,1001261
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001251,14.1,2,1001260
1001248,SIC,OTAP issues due to intermittent locks on caller records,1001251,14.1,2,1001259
396492,TOFF,Address ProvBridge to HLR timeout during terminal provisioning,396505,14.1,2,396506
396492,TOFF,Address ProvBridge to HLR timeout during terminal provisioning,396496,14.1,1,396505
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395918,14.4,1,395919
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395917,14.4,1,395918
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395916,14.4,1,395918
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395866,14.3,1,395867
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395865,14.3,1,395866
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395864,14.2,1,395866
395855,Octopi,PI 14 Parts List and Drawing Updates/Modifications Discovered within IA Patching or Outside Standard Features (Recurring),395860,14.2,1,395862
392743,SIC,High Dev Risk -  ATO Generic Unix STIG SVD Findings - (Solaris),1008609,14.2,3,1008584
392743,SIC,High Dev Risk -  ATO Generic Unix STIG SVD Findings - (Solaris),1008605,14.2,2,1008609
392743,SIC,High Dev Risk -  ATO Generic Unix STIG SVD Findings - (Solaris),1008584,14.3,1,1008585
392743,SIC,High Dev Risk -  ATO Generic Unix STIG SVD Findings - (Solaris),1007770,14.1,5,1008605
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386948,14.4,1,386949
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386946,14.4,2,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386942,14.3,2,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386941,14.2,2,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386940,14.2,5,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386939,14.3,2,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386938,14.2,3,386948
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386938,14.2,3,386940
386935,Magic,"MUOS Geolocation Support, Maintenance  Zeta EAD 16",386938,14.2,3,386946
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,1007049,14.3,2,1007605
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,1004858,14.1,2,1007603
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,1004856,14.1,2,1007603
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,1003372,14.2,3,1007603
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,389813,14.1,5,389882
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,387371,14.1,5,1007603
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,387236,14.1,3,390232
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384147,14.2,5,384149
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384147,14.2,5,389884
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384144,14.1,5,390080
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384141,14.3,5,384149
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384138,14.3,2,384139
384136,Okapi,OBS - HBSS: Integrate and test production HBSS solution into VLab,384138,14.3,2,384141
384084,SIC,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs,384097,14.4,2,384098
384084,SIC,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs,384095,14.3,3,384097
384084,SIC,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs,384094,14.3,2,384097
384084,SIC,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs,384089,14.1,3,384097
384084,SIC,OBS - HW: Design and Implement changes to FM System (Netcool) for Nutanix HW and Application VMs,384088,14.4,1,384097
384036,Okapi,OBS - HW: Integrate Nutanix HW/SW Design into VLab,1011370,14.3,2,1006877
