RTCid,Parent,Sprint,SP
1011684,342054,14.2,1
1011649,395871,14.2,2
1011486,396819,14.1,1
1011484,385856,14.3,2
1011483,385856,14.3,3
1011471,395174,14.5,2
1011370,384036,14.3,2
1011349,384036,14.2,2
1011346,384036,14.2,2
1011344,384036,14.2,1
1011339,354680,14.2,3
1011333,354680,14.2,1
1011277,353345,14.2,1
1011276,353345,14.2,1
1011274,390286,14.3,2
1011260,384036,14.2,1
1011259,384036,14.2,1
1011258,384036,14.2,2
1011257,384036,14.2,1
1011256,384036,14.2,2
1011166,395871,14.2,1
1011049,372921,14.2,3
1011023,388076,14.2,2
1011022,342054,14.2,3
1011010,388076,14.2,2
1010897,388076,14.2,3
1010896,386935,14.2,1
1010887,1006843,14.2,2
1010885,354646,14.3,3
1010883,1005740,14.1,1
1010882,388004,14.2,1
1010881,387448,14.2,1
1010880,377437,14.2,2
1010879,382895,14.1,1
1010713,377437,14.5,1
1010708,389549,14.2,1
1010663,396819,14.2,2
1010459,384036,14.2,2
1010432,395855,14.2,1
1010405,395174,14.4,3
1010393,390286,14.2,2
1010273,378000,14.1,2
1010120,396819,14.1,3
1009991,354680,14.3,1
1009987,396437,14.2,2
1009986,396437,14.2,1
1009935,342054,14.4,1
1009934,342054,14.4,5
1009933,342054,14.4,1
1009932,342054,14.4,1
1009930,318380,14.1,1
1009929,318380,14.1,2
1009928,318380,14.1,1
1009907,368860,14.1,5
1009818,395174,14.4,3
1009817,395174,14.2,3
1009816,395174,14.4,3
1009510,318430,14.1,1
1009493,384036,14.1,1
1009457,354174,14.1,2
1009291,318430,14.2,1
1009091,1001912,14.2,3
1009066,384036,14.1,1
1009021,396819,14.1,2
1009017,382895,14.1,2
1009015,382895,14.1,1
1009012,382895,14.1,2
1008981,378000,14.1,1
1008840,381608,14.1,1
1008818,379761,14.3,1
1008817,354871,14.5,3
1008816,378000,14.1,8
1008804,372921,14.4,3
1008736,381524,14.4,5
1008734,386935,14.1,2
1008724,381524,14.4,2
1008721,381524,14.3,2
1008719,396819,14.5,2
1008718,396819,14.4,2
1008715,396819,14.3,2
1008714,396819,14.2,2
1008713,396819,14.1,2
1008712,396819,14.5,2
1008711,396819,14.4,2
1008710,396819,14.3,2
1008709,396819,14.2,2
1008707,396819,14.1,2
1008697,384084,14.4,1
1008689,384084,14.3,1
1008685,384084,14.2,2
1008681,384084,14.2,1
1008673,384084,14.2,2
1008663,384036,14.1,3
1008653,388549,14.2,2
1008646,395373,14.4,3
1008645,395373,14.3,3
1008644,385442,14.4,1
1008643,395373,14.1,3
1008640,354680,14.2,2
1008639,1004171,14.3,2
1008638,395373,14.4,5
1008635,1001912,14.3,3
1008631,396819,14.3,2
1008626,395835,14.3,1
1008625,1007536,14.4,3
1008623,1007536,14.4,2
1008622,395835,14.1,1
1008621,1007536,14.4,2
1008615,1004171,14.2,2
1008612,396819,14.5,3
1008611,1007536,14.2,3
1008610,395373,14.3,5
1008609,392743,14.2,3
1008605,392743,14.2,2
1008600,395373,14.2,5
1008593,1001248,14.3,1
1008592,1001248,14.3,1
1008591,354174,14.3,3
1008590,354174,14.2,2
1008589,354174,14.2,2
1008588,354174,14.2,2
1008587,354174,14.2,1
1008586,354174,14.2,1
1008585,392743,14.4,1
1008584,392743,14.3,1
1008583,392743,14.2,1
1008582,392743,14.2,1
1008556,384036,14.4,3
1008555,390286,14.2,1
1008553,384036,14.3,2
1008550,354680,14.3,3
1008549,354680,14.4,1
1008547,354680,14.4,1
1008546,354680,14.4,1
1008545,354680,14.4,1
1008542,378000,14.1,8
1008536,384136,14.3,3
1008534,352931,14.2,3
1008533,384136,14.4,3
1008532,385856,14.4,3
1008529,354680,14.2,3
1008526,354646,14.2,1
1008525,354646,14.1,1
1008524,1001248,14.3,3
1008521,396819,14.1,1
1008494,396272,14.4,2
1008493,1001636,14.5,1
1008491,381608,14.1,1
1008490,381608,14.1,1
1008488,381608,14.1,2
1008486,384136,14.1,5
1008482,395174,14.2,1
1008480,395174,14.1,1
1008478,392530,14.2,1
1008477,392530,14.1,3
1008476,392530,14.1,1
1008465,318430,14.1,2
1008463,395871,14.2,2
1008460,395871,14.2,1
1008456,1004171,14.2,2
1008455,384036,14.4,2
1008454,1004171,14.3,1
1008453,290711,14.1,1
1008452,318430,14.1,2
1008448,396272,14.1,2
1008444,368860,14.3,1
1008443,368860,14.2,1
1008409,1001636,14.1,2
1008408,1001636,14.1,3
1008407,395373,14.3,3
1008406,395373,14.3,3
1008405,386935,14.4,1
1008404,386935,14.3,1
1008403,386935,14.4,1
1008402,386935,14.3,1
1008401,386935,14.2,1
1008398,1002345,14.3,1
1008397,396002,14.1,1
1008396,354680,14.3,2
1008394,354680,14.3,2
1008393,354680,14.3,2
1008392,354680,14.4,1
1008391,354680,14.4,2
1008390,354680,14.2,3
1008389,354680,14.4,3
1008388,354680,14.4,3
1008387,354680,14.3,2
1008385,354680,14.3,2
1008384,354680,14.2,2
1008377,354680,14.2,2
1008376,354680,14.2,3
1008375,354680,14.2,1
1008373,354680,14.2,1
1008372,354680,14.2,3
1008370,354680,14.2,3
1008369,354680,14.2,1
1008335,386935,14.1,3
1008272,384036,14.3,5
1008265,388053,14.1,2
1008264,368860,14.4,1
1008263,368860,14.3,1
1008262,368860,14.2,1
1008261,368860,14.1,1
1008260,368860,14.4,1
1008259,368860,14.3,1
1008258,368860,14.2,1
1008255,388549,14.4,5
1008254,388549,14.3,5
1008253,388549,14.4,5
1008252,388549,14.4,2
1008251,388549,14.2,2
1008250,388549,14.2,3
1008249,388549,14.4,3
1008248,388549,14.4,3
1008246,354680,14.1,5
1008245,354680,14.1,1
1008244,354680,14.3,3
1008243,354680,14.3,1
1008242,354646,14.1,2
1008240,354646,14.2,3
1008239,354646,14.1,5
1008231,1007536,14.3,5
1008230,395871,14.5,1
1008229,395871,14.3,1
1008209,354680,14.3,3
1008208,354680,14.1,5
1008207,354680,14.1,5
1008185,384036,14.3,3
1008177,396308,14.1,1
1008172,396308,14.5,1
1008171,396308,14.4,1
1008170,396308,14.3,1
1008169,396308,14.2,1
1008168,396308,14.1,1
1008143,395871,14.5,1
1008142,395871,14.4,1
1008141,395871,14.3,1
1008140,395871,14.2,1
1008138,395871,14.1,1
1008134,384036,14.3,3
1008118,1000847,14.1,3
1008115,1006376,14.4,2
1008110,381524,14.4,5
1008088,392743,14.3,1
1008072,384036,14.3,3
1008071,384036,14.2,2
1008069,387448,14.4,1
1008068,387448,14.3,1
1008067,387448,14.2,1
1008066,387448,14.4,2
1008065,387448,14.3,2
1008064,387448,14.2,2
1008063,385856,14.3,2
1008062,388053,14.4,2
1008061,388053,14.3,1
1008060,388053,14.4,5
1008059,388053,14.3,5
1008057,387448,14.3,1
1008054,388053,14.4,3
1008053,388053,14.3,3
